time_sec,Delta,Theta,Alpha,Beta,Gamma
1.0,41712.78005817276,16715.19674921747,5993.737469001747,2127.00564850423,487.97304715619566
2.0,15083.670211297906,4027.4002327869507,3820.308044139768,388.431144121197,195.37890955594577
3.0,5076.895215395717,1683.590487857262,810.886490864458,96.6504493917231,28.45777777623661
4.0,823.6389142072793,462.6166732547374,64.42944810378243,28.745460437473447,3.456904329707754
5.0,623.9533138207371,467.2808068902996,671.4217876313389,38.105072473656854,18.97822119020456
6.0,443.9397954511276,121.33147780084118,50.770594723923594,13.82327079782686,2.8746601894231154
7.0,358.0461903708367,290.8532311482812,112.57224516817598,18.58873720248022,5.021636960888713
8.0,178.89405763818374,317.24267750553577,356.1977434688199,55.21200595799037,9.072410743232506
9.0,456.5812507877353,382.41325181958393,384.6546108497067,39.91217954525171,9.72692697060427
10.0,150.505756641236,652.7525783395274,496.6412976026169,39.509438933652945,17.91755471804736
11.0,475.1594732907365,498.9091618440108,149.98190686115822,52.74863935557231,6.732715426355577
12.0,287.13315301591655,91.44237743254891,242.58098539773496,58.05509861983543,15.73995113817495
13.0,46.49636344146219,221.00745512846441,525.6411367322911,73.14969028593323,11.729253461468572
14.0,154.87294755161068,88.31622580407341,699.822967324337,19.29576245229358,16.043926307730977
15.0,333.74387745853136,351.805049629897,215.515254267812,24.599338740672824,7.576713637179743
16.0,643.9769693263661,504.9255748529513,546.2149690063819,45.685411816631024,14.473417232463936
17.0,347.1883457548231,804.8190442092912,863.3438776835137,63.44059292020763,20.241477778473328
18.0,134.18828812839033,453.7363189794957,1079.5010665007685,40.71805184204788,19.42100305203774
19.0,155.5264261240496,602.7118716676275,700.559486706596,46.67397683847296,19.210269207635683
20.0,332.03512942168715,141.04692571461243,161.871385863232,10.869854828655946,4.5644257086063975
21.0,1337.004158200227,322.4375535686812,137.84930076872953,22.089864679804002,6.466410977148731
22.0,87.79461206804767,93.43476871715174,63.169664805646036,14.141993700793213,2.8583700300999744
23.0,189.93782795411025,95.25285264815085,161.45500904905703,11.197783022927357,5.096325486295568
24.0,181.35326873343283,495.06379132091394,280.80254093206014,39.72182692708622,7.743458051064963
25.0,194.60718923285992,216.18610366138034,141.47902554033675,18.892372054200315,5.253001162687544
26.0,304.40464486993574,161.15100420867995,82.19580003252409,9.175084901016284,3.14907873008056
27.0,463.3768423374231,511.90634950482405,866.4301571007167,49.169314871836626,20.652564123233002
28.0,283.9050182974317,313.9860439509739,58.70032900375885,31.224360462861373,4.175833772239886
29.0,191.48999774923664,132.96469885757656,140.50706557877157,27.651010392590806,4.4944896142984945
30.0,235.12718558234906,670.8537075473523,894.2881787041272,41.86685355638874,14.798646612344225
31.0,214.73965123561038,178.85235598264518,152.78372076095826,19.63597150281605,4.213431942124076
32.0,279.6945407446949,135.0711214225897,49.17197979498979,12.098720260281812,2.3476862196290185
33.0,535.9949049410238,238.8591737974718,332.654682110615,26.523143254010947,9.123167896822693
34.0,441.8675939535855,747.1057348457975,1015.273656686498,128.6693028823044,25.64256586416926
35.0,432.54789683490753,412.29928371503865,624.7873217013002,26.670709911566238,15.19424228468176
36.0,154.44721345603844,774.4479267450947,559.0349630034503,53.76896238940991,17.018425568073994
37.0,336.0449402590057,392.9748676190587,272.0207098489487,70.29855397659287,6.993605402299439
38.0,194.52174348563872,192.4128515999695,148.94054211138814,16.725566382992113,4.25270293699324
39.0,1669.6630536866396,522.2355453122007,101.63442229058154,29.32796049891922,5.876273790965199
40.0,764.6365676141112,221.91140345128184,190.2709156881138,20.643658595268633,5.375217943878879
41.0,409.3421575757447,84.9541208151265,32.8396721575654,7.919943309843846,1.8261224299772367
42.0,827.1201677725395,126.92002629309697,108.75950591107036,17.981022887200368,4.4590965523054304
43.0,426.8682220328544,682.7677880396153,702.7315757791044,45.27313591043399,12.930801687723006
44.0,431.9105731404811,679.0587339075762,479.84232439640107,95.53144433045634,11.086492994248955
45.0,154.8708285352831,62.65317127112511,302.7350214050218,13.733617296229822,6.524458272042083
46.0,270.57781979619136,186.09511265051935,82.10625224432954,14.067277630099538,3.1306277583812623
47.0,747.0890728030631,378.1296462120629,530.5395413276245,52.91924538016665,9.946853873552472
48.0,2431.445743561561,1671.5211986519291,830.9926035245356,81.07106562206116,22.94552978181103
49.0,514.5329990371935,133.3862787136554,235.12607095421595,53.91410440358521,4.985638409808209
50.0,55.86508923365375,65.20286007143415,25.901240273003946,6.682748033586897,1.0625150017651726
51.0,188.23389174665166,270.77781678037877,133.04100898272836,24.31127796717106,5.427607631946166
52.0,412.20489667922385,356.8752606506756,282.63318807792996,27.404583563381546,7.156374429251855
53.0,54.434320976812295,149.53434055769645,103.8467814217195,11.86385976105745,5.057490210212932
54.0,207.0616359707607,701.9714302145215,992.4982370542164,84.09323459203354,25.57520551829254
55.0,493.13921833023255,432.6241207952113,421.49496229405247,31.01733821238087,10.753320907746309
56.0,441.3553420045155,251.96538976952775,195.13854007185688,36.36808823964292,8.417804809465027
57.0,1094.9774009959726,180.36172464296538,327.14982484793063,81.41737539760081,6.441620172479779
58.0,1522.4162172900085,251.48430701366522,110.07159705694907,24.4194945072472,5.007084778673591
59.0,430.44368718426193,351.2669169561025,589.6912562357553,44.098960395134775,17.85241847908474
60.0,281.6050969982718,263.6683305409677,241.0073168617575,18.58430292186445,9.759223199182767
61.0,296.3312159402222,414.2239629233484,179.67540278708202,28.30516659300226,6.476701112779078
62.0,661.4410645971338,181.24206383780495,87.60880644050728,12.821557774197174,4.016547782378426
